valence,danceability,energy,tempo,acousticness,instrumentalness,speechiness,popularity,explicit
0.6509999999999999,0.522,0.29,92.707,0.992,0.0,0.0522,0,0
0.0594,0.279,0.211,80.954,0.982,0.878,0.0366,1,0
0.544,0.5770000000000001,0.422,79.997,0.185,0.0349,0.0575,0,1
0.257,0.344,0.131,178.21200000000005,0.969,0.0,0.0616,0,0
0.525,0.6890000000000001,0.537,107.84,0.258,4.4e-06,0.0282,0,0
0.449,0.474,0.398,75.931,0.765,0.00368,0.0309,0,0
0.205,0.278,0.251,69.90100000000001,0.965,2.32e-06,0.0371,0,0
0.536,0.371,0.0742,138.376,0.991,0.0167,0.0362,0,0
0.752,0.516,0.5760000000000001,123.853,0.7090000000000001,0.226,0.0303,0,0
0.537,0.396,0.158,134.614,0.993,0.738,0.0734,0,0
0.0348,0.0663,0.0257,74.282,0.8490000000000001,0.956,0.0472,1,0
0.275,0.508,0.5,127.969,0.597,4.49e-06,0.0345,0,0
0.647,0.301,0.233,86.27,0.976,0.205,0.0449,0,0
0.5579999999999999,0.655,0.119,106.511,0.996,0.474,0.127,0,0
0.194,0.213,0.185,165.137,0.983,2.64e-05,0.0372,0,0
0.0379,0.241,0.109,79.97399999999998,0.992,0.853,0.0377,4,0
0.222,0.363,0.12,82.315,0.982,1.75e-05,0.0452,1,0
0.959,0.823,0.329,119.061,0.951,0.0,0.143,0,0
0.619,0.293,0.232,87.417,0.956,0.7120000000000001,0.0679,0,0
0.524,0.334,0.147,135.111,0.995,0.258,0.0486,0,0
0.5379999999999999,0.55,0.515,123.983,0.757,0.0126,0.0336,0,0
0.233,0.312,0.175,117.609,0.866,0.0,0.0347,0,0
0.072,0.396,0.3,110.746,0.923,0.61,0.0353,2,0
0.234,0.251,0.275,94.264,0.992,0.785,0.0371,0,0
0.231,0.727,0.0116,132.41299999999998,0.653,3.78e-05,0.22,2,0
0.574,0.514,0.256,79.467,0.995,0.0,0.0871,0,0
0.186,0.263,0.0536,129.365,0.994,0.927,0.0386,1,0
0.0769,0.36,0.145,110.354,0.935,0.384,0.0383,2,0
0.552,0.426,0.226,73.63,0.994,0.0,0.0693,0,0
0.287,0.341,0.139,68.031,0.988,0.114,0.0643,0,0
0.274,0.199,0.377,180.181,0.7929999999999999,1.96e-06,0.0421,0,0
0.197,0.418,0.0904,52.008,0.975,2.64e-06,0.0408,0,0
0.8909999999999999,0.611,0.297,122.476,0.994,0.0,0.0661,1,0
0.197,0.423,0.0926,105.365,0.987,2.7399999999999995e-05,0.0437,0,0
0.8170000000000001,0.38,0.525,136.156,0.99,0.94,0.0432,0,0
0.0447,0.27,0.266,100.771,0.922,0.802,0.0323,2,0
0.0358,0.212,0.215,65.926,0.943,0.442,0.0392,2,0
0.115,0.476,0.677,116.572,0.8959999999999999,0.644,0.108,4,0
0.25,0.28,0.0294,106.083,0.478,0.00569,0.0324,5,0
0.29,0.758,0.0148,77.031,0.465,1.94e-05,0.133,2,0
0.33,0.264,0.287,74.301,0.995,0.935,0.0356,0,0
0.767,0.517,0.271,90.39,0.995,0.0,0.0551,0,0
0.0443,0.316,0.15,99.526,0.982,0.909,0.0333,1,0
0.0515,0.2,0.0916,65.211,0.973,0.875,0.0376,0,0
0.43,0.382,0.105,91.581,0.994,0.48,0.0408,0,0
0.354,0.314,0.281,78.811,0.985,6.37e-05,0.0648,0,0
0.077,0.248,0.0876,82.025,0.994,0.907,0.0566,0,0
0.192,0.393,0.156,136.295,0.993,4.85e-06,0.0458,0,0
0.318,0.305,0.273,82.801,0.991,0.0746,0.0386,0,0
0.282,0.384,0.171,107.698,0.989,0.82,0.0319,0,0
0.0779,0.341,0.256,121.051,0.588,0.157,0.0461,0,1
0.433,0.544,0.259,78.29,0.987,0.0532,0.0437,0,0
0.716,0.502,0.403,67.883,0.978,0.0,0.466,0,0
0.603,0.464,0.154,85.405,0.992,0.9,0.192,0,0
0.598,0.496,0.124,82.85799999999998,0.995,0.0986,0.0505,0,0
0.036,0.16,0.0521,86.736,0.8959999999999999,0.846,0.0398,0,0
0.429,0.366,0.231,63.24100000000001,0.983,0.905,0.283,0,0
0.173,0.38,0.117,86.493,0.992,1.14e-06,0.0415,0,0
0.219,0.403,0.385,123.839,0.672,0.000339,0.0315,0,0
0.919,0.8290000000000001,0.333,132.606,0.959,0.000362,0.103,0,0
0.451,0.5920000000000001,0.0322,69.958,0.995,0.0573,0.209,0,0
0.406,0.708,0.544,120.0,0.447,0.0375,0.0316,0,1
0.657,0.421,0.231,82.76899999999998,0.995,2.62e-06,0.0528,0,0
0.212,0.241,0.274,90.773,0.941,7.53e-06,0.0297,0,0
0.286,0.362,0.315,91.551,0.994,0.636,0.0646,0,0
0.463,0.546,0.275,80.57,0.992,0.0,0.309,0,0
0.186,0.263,0.0536,129.365,0.994,0.927,0.0386,0,0
0.0718,0.314,0.209,107.781,0.941,0.473,0.033,2,0
0.511,0.607,0.138,113.282,0.95,0.0,0.157,0,0
0.272,0.605,0.329,79.934,0.104,0.0923,0.0354,0,1
0.918,0.6609999999999999,0.489,125.023,0.8340000000000001,0.0,0.103,1,0
0.637,0.3670000000000001,0.192,83.11,0.993,0.947,0.296,0,0
0.775,0.526,0.247,83.837,0.996,0.0,0.0483,0,0
0.0944,0.271,0.285,127.938,0.964,0.948,0.0342,2,0
0.0513,0.158,0.0135,67.377,0.99,0.789,0.038,0,0
0.7290000000000001,0.509,0.16,109.296,0.986,0.0,0.0572,0,0
0.73,0.348,0.345,65.854,0.948,0.856,0.0654,0,0
0.0513,0.158,0.0135,67.372,0.99,0.789,0.038,1,0
0.484,0.508,0.147,128.518,0.994,0.000828,0.0487,0,0
0.589,0.355,0.199,173.13,0.994,0.000154,0.053,0,0
0.374,0.301,0.0953,75.179,0.988,0.0757,0.0314,0,0
0.0308,0.292,0.0769,69.601,0.987,0.873,0.0393,0,0
0.189,0.32,0.249,93.765,0.952,0.000424,0.0342,1,0
0.0379,0.241,0.109,79.97399999999998,0.992,0.853,0.0377,0,0
0.0388,0.39,0.13,115.774,0.967,0.867,0.0355,1,0
0.574,0.624,0.13,78.28,0.988,0.0,0.17,0,0
0.458,0.38,0.304,147.681,0.994,0.6809999999999999,0.0451,0,0
0.0515,0.2,0.0916,65.211,0.973,0.875,0.0376,2,0
0.036,0.16,0.0521,86.736,0.8959999999999999,0.846,0.0398,2,0
0.0542,0.255,0.192,98.729,0.951,0.0381,0.0379,2,0
0.191,0.713,0.42,119.973,0.0169,0.488,0.0322,0,1
0.6829999999999999,0.625,0.5870000000000001,136.951,0.589,0.0,0.0353,0,0
0.64,0.623,0.655,126.859,0.1669999999999999,0.00418,0.0425,0,0
0.378,0.398,0.162,71.59899999999998,0.995,0.799,0.241,0,0
0.0308,0.292,0.0769,69.601,0.987,0.873,0.0393,3,0
0.0737,0.29,0.283,129.828,0.693,0.46,0.0349,1,0
0.759,0.561,0.3670000000000001,75.554,0.995,0.0,0.354,0,0
0.667,0.3229999999999999,0.111,99.349,0.995,0.7809999999999999,0.0418,0,0
0.792,0.6679999999999999,0.2,140.791,0.95,0.0,0.157,1,0
0.306,0.456,0.0923,76.428,0.995,0.0526,0.0374,0,0
0.061,0.277,0.143,99.407,0.977,0.885,0.0302,1,0
0.551,0.371,0.454,110.567,0.9,0.0,0.0781,0,0
0.0515,0.264,0.22,111.811,0.971,0.922,0.0328,2,0
0.5329999999999999,0.374,0.122,69.889,0.995,0.8809999999999999,0.0981,0,0
0.0494,0.261,0.1639999999999999,105.664,0.916,0.0574,0.0331,1,0
0.3,0.56,0.313,107.501,0.772,4.52e-06,0.0376,0,0
0.0348,0.0663,0.0257,74.282,0.8490000000000001,0.956,0.0472,0,0
0.6579999999999999,0.528,0.355,95.69,0.993,0.0362,0.0676,0,0
0.6890000000000001,0.408,0.242,79.072,0.995,1.31e-05,0.0722,0,0
0.534,0.5870000000000001,0.158,130.317,0.995,0.224,0.208,0,0
0.659,0.514,0.127,69.873,0.996,0.958,0.0688,0,0
0.512,0.441,0.2,124.762,0.984,0.598,0.0392,0,0
0.127,0.645,0.445,104.851,0.674,0.7440000000000001,0.451,6,0
0.457,0.434,0.177,130.418,0.994,0.0218,0.0512,0,0
0.397,0.321,0.0946,169.98,0.995,0.918,0.0504,0,0
0.727,0.51,0.355,85.75399999999998,0.965,0.0,0.124,0,0
0.654,0.563,0.184,133.088,0.993,1.55e-05,0.0512,0,0
0.544,0.488,0.475,139.952,0.62,0.00645,0.0399,0,0
0.612,0.5479999999999999,0.0391,75.595,0.996,0.933,0.153,0,0
0.402,0.298,0.46,87.921,0.521,0.856,0.453,0,0
0.897,0.703,0.28,127.531,0.995,6.840000000000001e-05,0.174,0,0
0.84,0.7090000000000001,0.289,107.515,0.967,0.0,0.18,0,0
0.414,0.352,0.334,76.403,0.996,0.00746,0.0594,0,0
0.753,0.37,0.3720000000000001,159.66899999999995,0.985,0.000681,0.0865,0,0
0.215,0.335,0.304,76.57600000000002,0.996,0.0832,0.0506,0,0
0.219,0.339,0.0958,86.279,0.994,0.969,0.053,0,0
0.546,0.5820000000000001,0.152,95.779,0.972,0.0,0.0914,0,0
0.4,0.42,0.288,139.575,0.994,0.000216,0.0701,4,0
0.383,0.373,0.176,106.595,0.994,0.866,0.0703,0,0
0.7659999999999999,0.5920000000000001,0.408,81.126,0.993,1.54e-06,0.271,0,0
0.568,0.55,0.31,125.829,0.992,0.0,0.168,0,0
0.33,0.482,0.0283,77.642,0.996,0.77,0.0732,0,0
0.414,0.273,0.318,74.542,0.974,0.163,0.0694,0,0
0.623,0.373,0.244,115.51,0.993,0.0478,0.0538,0,0
0.407,0.462,0.119,122.895,0.996,0.88,0.0793,0,0
0.508,0.532,0.375,80.37899999999998,0.995,1.22e-06,0.298,0,0
0.286,0.458,0.178,69.128,0.992,0.8170000000000001,0.0614,0,0
0.575,0.52,0.262,69.125,0.994,0.000852,0.132,0,0
0.431,0.4270000000000001,0.18,78.459,0.989,0.0,0.067,0,0
0.6709999999999999,0.457,0.193,177.097,0.996,0.348,0.0655,0,0
0.792,0.491,0.439,180.653,0.626,0.0,0.105,0,0
0.409,0.236,0.124,71.524,0.995,0.981,0.0515,0,0
0.4370000000000001,0.43,0.168,58.863,0.995,0.928,0.0622,0,0
0.648,0.545,0.268,126.614,0.995,0.92,0.191,0,0
0.701,0.467,0.328,87.132,0.991,1.57e-05,0.0354,0,0
0.636,0.484,0.0558,99.555,0.996,0.278,0.0575,0,0
0.7490000000000001,0.218,0.394,82.287,0.981,0.301,0.0388,0,0
0.396,0.634,0.00399,79.895,0.926,0.919,0.0377,0,0
0.659,0.5429999999999999,0.424,68.567,0.99,0.0379,0.269,0,0
0.344,0.36,0.0954,76.3,0.994,0.726,0.064,0,0
0.5429999999999999,0.431,0.2,108.65,0.995,0.821,0.0322,0,0
0.407,0.564,0.053,140.216,0.996,0.927,0.127,0,0
0.56,0.4970000000000001,0.218,88.412,0.992,0.0,0.0345,0,0
0.8959999999999999,0.527,0.142,126.702,0.996,0.907,0.0612,0,0
0.601,0.564,0.433,72.003,0.979,3.74e-06,0.356,0,0
0.552,0.53,0.147,69.45100000000001,0.996,0.894,0.0663,0,0
0.83,0.388,0.202,181.105,0.993,0.917,0.0517,0,0
0.969,0.716,0.301,129.153,0.987,0.0,0.105,0,0
0.708,0.541,0.161,143.105,0.996,0.907,0.094,0,0
0.62,0.5539999999999999,0.204,97.337,0.995,1.24e-06,0.0598,0,0
0.562,0.442,0.177,128.395,0.994,0.000896,0.0571,0,0
0.413,0.45,0.0522,72.40100000000002,0.996,0.929,0.0583,0,0
0.105,0.657,0.325,81.944,0.199,0.856,0.254,0,0
0.6829999999999999,0.493,0.0763,75.313,0.996,0.909,0.0612,0,0
0.42,0.53,0.0468,129.602,0.996,0.937,0.0853,0,0
0.138,0.644,0.684,100.031,0.144,0.802,0.199,0,0
0.8079999999999999,0.625,0.35,81.567,0.984,0.0,0.312,0,0
0.564,0.43,0.155,96.58,0.995,0.952,0.116,0,0
0.515,0.366,0.0749,90.969,0.996,0.924,0.0806,0,0
0.481,0.511,0.206,70.443,0.995,0.0,0.0592,0,0
0.347,0.496,0.158,79.87100000000002,0.995,0.638,0.0423,0,0
0.528,0.422,0.561,121.542,0.98,3.41e-06,0.461,0,0
0.5870000000000001,0.493,0.0997,127.023,0.996,0.481,0.0607,0,0
0.67,0.6559999999999999,0.283,126.085,0.996,0.00597,0.191,0,0
0.312,0.313,0.102,67.575,0.985,0.97,0.0436,0,0
0.509,0.425,0.308,64.738,0.98,0.0,0.0534,0,0
0.412,0.6509999999999999,0.574,99.878,0.474,0.713,0.104,0,0
0.255,0.3229999999999999,0.106,71.432,0.992,0.918,0.0483,0,0
0.635,0.476,0.131,69.40899999999999,0.995,0.929,0.0523,0,0
0.5589999999999999,0.357,0.244,72.51,0.993,0.0455,0.0478,0,0
0.706,0.564,0.178,60.422,0.995,0.921,0.0432,0,0
0.5579999999999999,0.537,0.153,129.134,0.994,0.0,0.0898,0,0
0.634,0.528,0.343,83.2,0.995,0.0,0.315,0,0
0.901,0.831,0.262,104.606,0.984,0.912,0.0942,42,0
0.211,0.614,0.0423,89.822,0.996,0.00293,0.0535,42,0
0.1369999999999999,0.537,0.0443,80.468,0.996,0.000265,0.0343,29,0
0.503,0.665,0.254,125.734,0.976,0.00217,0.108,32,0
0.601,0.7709999999999999,0.0905,87.571,0.986,0.0001409999999999,0.0613,26,0
0.402,0.693,0.027,75.749,0.992,0.0,0.0562,26,0
0.411,0.525,0.232,76.14,0.995,0.0181,0.0335,24,0
0.5529999999999999,0.7090000000000001,0.062,85.854,0.995,0.00341,0.048,27,0
0.294,0.408,0.145,68.8,0.994,4.73e-05,0.0501,22,0
0.494,0.71,0.0735,90.917,0.99,0.0,0.0488,22,0
0.44,0.6829999999999999,0.0534,79.488,0.996,0.000335,0.0356,22,0
0.483,0.5870000000000001,0.175,98.523,0.992,0.000318,0.0384,22,0
0.258,0.355,0.114,69.902,0.991,0.00686,0.0588,22,0
0.902,0.708,0.361,105.695,0.994,0.883,0.0441,20,0
0.412,0.516,0.146,71.14399999999998,0.993,0.0223,0.0454,20,0
0.556,0.491,0.0583,166.27,0.996,0.376,0.0431,18,0
0.5579999999999999,0.691,0.198,103.901,0.971,0.0088799999999999,0.0784,17,0
0.5539999999999999,0.546,0.189,80.318,0.996,0.908,0.0581,13,0
0.411,0.544,0.181,129.803,0.985,0.0256,0.0387,12,0
0.443,0.415,0.0795,74.683,0.995,3.73e-05,0.0908,13,0
0.484,0.586,0.113,85.235,0.989,0.276,0.0607,13,0
0.49,0.5710000000000001,0.269,101.845,0.96,0.0129,0.067,13,0
0.411,0.417,0.0498,78.663,0.996,0.123,0.0344,11,0
0.319,0.52,0.153,102.937,0.995,0.131,0.044,11,0
0.491,0.703,0.185,104.916,0.993,0.00209,0.0441,10,0
0.351,0.602,0.132,77.087,0.996,0.025,0.0532,10,0
0.523,0.621,0.274,84.788,0.986,0.63,0.0514,16,0
0.494,0.557,0.0792,79.768,0.991,0.0,0.0541,11,0
0.753,0.359,0.357,205.053,0.994,0.8190000000000001,0.0511,10,0
0.58,0.72,0.214,82.921,0.99,6.03e-06,0.07,11,0
0.665,0.514,0.193,180.674,0.996,0.199,0.238,9,0
0.889,0.759,0.454,109.79,0.98,0.81,0.0822,9,0
0.609,0.6409999999999999,0.063,65.673,0.995,2.21e-06,0.0727,10,0
0.735,0.76,0.251,108.456,0.969,2.43e-06,0.0602,8,0
0.7509999999999999,0.745,0.396,117.753,0.971,0.00179,0.481,8,0
0.961,0.733,0.418,121.289,0.949,0.792,0.0765,7,0
0.489,0.8,0.0466,84.544,0.994,0.000165,0.0578,10,0
0.59,0.63,0.232,164.02700000000004,0.995,0.00627,0.0569,8,0
0.381,0.603,0.13,143.497,0.976,0.765,0.0426,7,0
0.848,0.59,0.268,189.266,0.995,0.252,0.0725,8,0
0.8540000000000001,0.792,0.321,108.607,0.973,0.795,0.131,8,0
0.929,0.5870000000000001,0.29,183.352,0.936,0.254,0.177,7,0
0.716,0.602,0.216,146.183,0.996,0.524,0.0676,7,0
0.504,0.6579999999999999,0.0841,121.494,0.994,0.767,0.0496,6,0
0.629,0.604,0.325,168.50599999999997,0.985,0.84,0.213,9,0
0.58,0.584,0.201,82.54899999999998,0.976,0.0,0.0575,6,0
0.889,0.7170000000000001,0.209,127.401,0.979,0.439,0.0622,8,0
0.718,0.496,0.311,191.035,0.923,0.0127,0.124,6,0
0.469,0.519,0.272,80.523,0.995,0.7829999999999999,0.0627,7,0
0.657,0.606,0.261,128.025,0.968,0.124,0.0679,6,0
0.624,0.5,0.193,147.29,0.984,0.7440000000000001,0.0347,6,0
0.514,0.561,0.353,107.711,0.971,0.13,0.0538,6,0
0.496,0.454,0.233,119.956,0.968,0.0333,0.0433,6,0
0.879,0.78,0.207,100.376,0.983,0.0291,0.0771,7,0
0.767,0.642,0.274,184.923,0.83,0.898,0.101,6,0
0.415,0.479,0.14,81.67399999999998,0.988,0.65,0.0725,6,0
0.75,0.579,0.204,154.333,0.928,0.00459,0.0804,6,0
0.84,0.634,0.435,121.516,0.995,0.8809999999999999,0.0474,6,0
0.772,0.614,0.298,122.319,0.97,0.6459999999999999,0.0541,6,0
0.89,0.809,0.408,113.494,0.942,0.0398,0.0846,6,0
0.6759999999999999,0.7879999999999999,0.395,113.336,0.882,0.8440000000000001,0.301,6,0
0.825,0.726,0.212,97.21,0.963,0.688,0.126,5,0
0.37,0.527,0.178,105.093,0.989,9.85e-06,0.0793,4,0
0.675,0.713,0.231,108.482,0.995,0.0,0.067,6,0
0.8059999999999999,0.7190000000000001,0.388,118.272,0.97,0.526,0.154,5,0
0.256,0.615,0.13,108.873,0.992,0.0805,0.0466,4,0
0.537,0.598,0.31,110.346,0.978,0.0337,0.0714,4,0
0.387,0.6809999999999999,0.188,103.095,0.988,0.00732,0.0482,6,0
0.965,0.573,0.246,205.419,0.907,0.867,0.224,4,0
0.5760000000000001,0.585,0.228,98.685,0.989,8.55e-06,0.0475,5,0
0.5579999999999999,0.713,0.294,85.29899999999998,0.963,0.348,0.073,4,0
0.5539999999999999,0.536,0.168,169.06099999999995,0.994,0.121,0.114,5,0
0.741,0.625,0.203,133.909,0.937,0.0208,0.077,5,0
0.96,0.6920000000000001,0.477,118.604,0.994,0.929,0.363,6,0
0.593,0.653,0.131,124.1,0.977,0.733,0.0628,5,0
0.647,0.583,0.214,101.916,0.994,3.3e-05,0.0423,6,0
0.794,0.562,0.525,158.373,0.945,0.0949,0.142,5,0
0.816,0.741,0.284,105.84,0.927,0.0788,0.0505,4,0
0.957,0.78,0.368,115.401,0.98,0.907,0.0958,6,0
0.637,0.657,0.136,72.492,0.995,7.64e-05,0.339,4,0
0.43,0.66,0.184,107.328,0.996,0.941,0.0322,5,0
0.946,0.68,0.47,181.038,0.912,0.907,0.11,6,0
0.5870000000000001,0.6729999999999999,0.132,105.5,0.995,0.108,0.0771,6,0
0.6509999999999999,0.851,0.221,116.444,0.953,7.36e-06,0.0932,5,0
0.5770000000000001,0.66,0.118,108.305,0.951,0.452,0.0648,5,0
0.82,0.679,0.144,108.832,0.933,0.168,0.0975,6,0
0.544,0.8109999999999999,0.151,127.944,0.986,0.8690000000000001,0.0823,5,0
0.638,0.5529999999999999,0.255,181.769,0.975,0.804,0.0874,5,0
0.534,0.551,0.196,76.598,0.995,0.00325,0.0594,6,0
0.465,0.4920000000000001,0.115,172.97099999999998,0.98,0.0,0.0898,5,0
0.6920000000000001,0.5579999999999999,0.19,170.06599999999997,0.995,0.5720000000000001,0.0869,5,0
0.882,0.603,0.286,176.56599999999997,0.99,0.000713,0.0806,4,0
0.564,0.536,0.128,91.937,0.988,0.0,0.0435,5,0
0.895,0.6990000000000001,0.273,102.375,0.995,0.3670000000000001,0.0886,5,0
0.575,0.6609999999999999,0.134,71.497,0.996,0.0011,0.0763,4,0
0.456,0.726,0.254,110.86,0.982,0.33,0.124,3,0
0.8140000000000001,0.564,0.203,160.767,0.992,5.45e-06,0.0743,4,0
0.5760000000000001,0.5589999999999999,0.266,101.279,0.989,0.847,0.0512,4,0
0.594,0.604,0.279,123.271,0.986,0.237,0.0446,4,0
0.8370000000000001,0.6659999999999999,0.278,101.729,0.981,0.405,0.0926,4,0
0.807,0.501,0.39,83.162,0.995,0.963,0.05,0,0
0.6859999999999999,0.653,0.319,102.225,0.988,0.0,0.0519,0,0
0.597,0.47,0.28,130.445,0.992,0.926,0.129,0,0
0.532,0.414,0.248,74.08800000000002,0.992,0.884,0.0905,0,0
0.57,0.5720000000000001,0.0909,131.55,0.996,0.908,0.139,0,0
0.767,0.435,0.353,77.699,0.992,0.0,0.0992,0,0
0.8029999999999999,0.7829999999999999,0.341,121.287,0.991,0.0,0.873,0,0
0.759,0.635,0.285,123.849,0.98,0.0,0.217,0,0
0.823,0.234,0.401,77.395,0.989,0.993,0.04,0,0
0.444,0.424,0.283,138.19,0.989,0.968,0.0509,0,0
0.621,0.496,0.32,108.512,0.995,0.0,0.0847,0,0
0.182,0.227,0.423,81.23899999999998,0.994,0.787,0.095,0,0
0.556,0.38,0.235,82.78299999999999,0.99,0.0,0.053,0,0
0.19,0.26,0.333,78.08,0.995,0.917,0.0896,0,0
0.618,0.377,0.335,79.422,0.992,0.961,0.0426,0,0
0.733,0.563,0.426,80.204,0.994,0.96,0.148,0,0
0.66,0.574,0.0119,125.425,0.996,0.936,0.102,0,0
0.89,0.515,0.272,130.063,0.994,0.97,0.108,0,0
0.453,0.433,0.422,160.02100000000004,0.815,9.67e-06,0.0418,0,0
0.424,0.397,0.229,80.086,0.996,0.8370000000000001,0.0365,0,0
0.599,0.493,0.109,120.344,0.996,0.8220000000000001,0.423,0,0
0.843,0.6409999999999999,0.283,65.865,0.993,6.98e-06,0.316,0,0
0.614,0.6,0.243,125.772,0.994,0.992,0.055,0,0
0.934,0.623,0.292,61.28,0.978,0.0,0.0558,0,0
0.253,0.415,0.0359,70.347,0.996,0.914,0.0562,0,0
0.51,0.502,0.298,135.238,0.995,0.919,0.0805,0,0
0.5489999999999999,0.391,0.143,78.544,0.994,0.318,0.0425,0,0
0.56,0.335,0.305,100.941,0.994,0.89,0.0427,0,0
0.536,0.519,0.292,83.334,0.995,0.0502,0.0852,0,0
0.8490000000000001,0.607,0.279,73.673,0.975,0.0,0.174,0,0
0.942,0.47,0.43,166.475,0.995,0.981,0.0516,0,0
0.8059999999999999,0.725,0.377,109.982,0.758,1.19e-06,0.0324,0,0
0.698,0.435,0.212,122.928,0.995,0.0165,0.0479,0,0
0.727,0.618,0.306,122.623,0.995,0.967,0.0535,0,0
0.76,0.336,0.415,167.96,0.995,0.984,0.17,0,0
0.804,0.6659999999999999,0.366,108.158,0.992,0.0,0.0682,0,0
0.885,0.718,0.506,130.062,0.758,9.75e-06,0.0362,0,0
0.7290000000000001,0.627,0.415,133.901,0.7140000000000001,0.0,0.0462,0,0
0.779,0.733,0.516,139.964,0.8590000000000001,0.0,0.0475,0,0
0.561,0.743,0.417,119.96,0.906,0.0,0.0313,0,0
0.236,0.475,0.294,126.301,0.88,0.0,0.0381,0,0
0.711,0.407,0.407,134.869,0.996,0.982,0.116,0,0
0.59,0.537,0.273,126.42,0.994,0.866,0.114,0,0
0.88,0.52,0.168,133.933,0.995,0.916,0.0598,0,0
0.785,0.825,0.476,119.979,0.818,0.0,0.0328,0,0
0.684,0.375,0.345,74.236,0.992,0.898,0.337,0,0
0.706,0.613,0.457,76.682,0.976,0.0,0.51,0,0
0.584,0.599,0.227,78.265,0.995,4.49e-05,0.0646,0,0
0.6609999999999999,0.7020000000000001,0.3720000000000001,156.09,0.838,0.0,0.0894,0,0
0.593,0.332,0.291,186.573,0.995,0.858,0.0555,0,0
0.779,0.394,0.327,63.228,0.993,0.764,0.12,0,0
0.807,0.564,0.247,76.223,0.992,0.0,0.291,0,0
0.795,0.496,0.297,84.27799999999998,0.969,0.0,0.0816,0,0
0.272,0.406,0.947,129.659,0.905,0.00225,0.282,0,0
0.316,0.433,0.381,129.194,0.994,0.0,0.0433,0,0
0.762,0.5660000000000001,0.312,129.161,0.996,0.951,0.0853,0,0
0.8190000000000001,0.511,0.267,133.22,0.995,0.000242,0.0862,0,0
0.675,0.721,0.394,107.884,0.7709999999999999,0.0,0.0651,0,0
0.706,0.337,0.311,115.48,0.993,0.977,0.0549,0,0
0.888,0.512,0.291,150.63,0.994,0.944,0.0407,0,0
0.335,0.779,0.121,100.003,0.000591,0.805,0.0547,0,0
0.8220000000000001,0.55,0.333,89.669,0.973,0.0,0.0543,0,0
0.36,0.345,0.237,62.794,0.986,0.93,0.0527,0,0
0.278,0.431,0.241,117.048,0.996,0.877,0.0651,0,0
0.564,0.6,0.329,125.571,0.994,0.964,0.0683,0,0
0.77,0.7879999999999999,0.898,125.031,6.54e-05,0.843,0.0704,0,0
0.473,0.219,0.301,77.506,0.988,7.16e-06,0.0457,0,0
0.727,0.459,0.129,85.152,0.995,0.973,0.0847,0,0
